SRforSCF_03.csv, ñ@ê¸ñ íºíBì˙éÀó , êÖïΩñ ìVãÛì˙éÀó , ígñ[1_ó‚ñ[2
12415, 55, 69, 1
12416, 29, 24, 1
12417, 0, 0, 1
12418, 0, 0, 1
12419, 0, 0, 1
12420, 0, 0, 1
12421, 0, 0, 1
12422, 0, 0, 1
12423, 0, 0, 1
12424, 0, 0, 1
12501, 0, 0, 1
12502, 0, 0, 1
12503, 0, 0, 1
12504, 0, 0, 1
12505, 0, 0, 1
12506, 0, 0, 1
12507, 10, 7, 1
12508, 74, 48, 1
12509, 69, 91, 1
12510, 24, 98, 1
12511, 12, 93, 1
12512, 50, 141, 1
12513, 346, 148, 1
12514, 736, 48, 1
12515, 38, 62, 1
12516, 12, 17, 1
12517, 0, 0, 1
12518, 0, 0, 1
12519, 0, 0, 1
12520, 0, 0, 1
12521, 0, 0, 1
12522, 0, 0, 1
12523, 0, 0, 1
12524, 0, 0, 1
12601, 0, 0, 1
12602, 0, 0, 1
12603, 0, 0, 1
12604, 0, 0, 1
12605, 0, 0, 1
12606, 0, 0, 1
12607, 10, 7, 1
12608, 33, 41, 1
12609, 24, 67, 1
12610, 31, 105, 1
12611, 115, 165, 1
12612, 62, 155, 1
12613, 79, 148, 1
12614, 100, 124, 1
12615, 36, 65, 1
12616, 7, 14, 1
12617, 0, 0, 1
12618, 0, 0, 1
12619, 0, 0, 1
12620, 0, 0, 1
12621, 0, 0, 1
12622, 0, 0, 1
12623, 0, 0, 1
12624, 0, 0, 1
12701, 0, 0, 1
12702, 0, 0, 1
12703, 0, 0, 1
12704, 0, 0, 1
12705, 0, 0, 1
12706, 0, 0, 1
12707, 19, 10, 1
12708, 33, 41, 1
12709, 41, 81, 1
12710, 93, 136, 1
12711, 475, 131, 1
12712, 172, 179, 1
12713, 215, 165, 1
12714, 196, 131, 1
12715, 93, 81, 1
12716, 93, 33, 1
12717, 2, 2, 1
12718, 0, 0, 1
12719, 0, 0, 1
12720, 0, 0, 1
12721, 0, 0, 1
12722, 0, 0, 1
12723, 0, 0, 1
12724, 0, 0, 1
12801, 0, 0, 1
12802, 0, 0, 1
12803, 0, 0, 1
12804, 0, 0, 1
12805, 0, 0, 1
12806, 0, 0, 1
12807, 38, 10, 1
12808, 246, 57, 1
12809, 361, 96, 1
12810, 576, 93, 1
12811, 674, 84, 1
12812, 695, 81, 1
12813, 561, 105, 1
12814, 573, 84, 1
12815, 215, 88, 1
12816, 110, 36, 1
12817, 2, 2, 1
12818, 0, 0, 1
12819, 0, 0, 1
12820, 0, 0, 1
12821, 0, 0, 1
12822, 0, 0, 1
12823, 0, 0, 1
12824, 0, 0, 1
12901, 0, 0, 1
12902, 0, 0, 1
12903, 0, 0, 1
12904, 0, 0, 1
12905, 0, 0, 1
12906, 0, 0, 1
12907, 2, 5, 1
12908, 17, 33, 1
12909, 55, 91, 1
12910, 65, 131, 1
12911, 466, 136, 1
12912, 495, 134, 1
12913, 459, 131, 1
12914, 425, 112, 1
12915, 533, 60, 1
12916, 194, 38, 1
12917, 2, 2, 1
12918, 0, 0, 1
12919, 0, 0, 1
12920, 0, 0, 1
12921, 0, 0, 1
12922, 0, 0, 1
12923, 0, 0, 1
12924, 0, 0, 1
13001, 0, 0, 1
13002, 0, 0, 1
13003, 0, 0, 1
13004, 0, 0, 1
13005, 0, 0, 1
13006, 0, 0, 1
13007, 55, 12, 1
13008, 530, 41, 1
13009, 105, 105, 1
