etajdt_case, Azwjdt, cosh, 1, cosÉ∆, cos2É∆, cos3É∆, cos4É∆, cos5É∆, cos6É∆, cos7É∆, etajdtA
175, -78.482439747779, 0.897630356782054, 1, 0, 0, 0, 0, 0, 0, 0, 1
176, -63.2725561479606, 0.998734860018288, 1, 0, 0, 0, 0, 0, 0, 0, 1
177, -53.9749614789376, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1
1001, 39.0963938900912, 0.999927965194223, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.871492975957205
1002, 54.5149243564668, 0.915435031932259, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.833836688642078
1003, 70.2214953067478, 0.666230676096435, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.497135761925488
1004, 96.5318925231103, 0.341665799182358, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1005, 120.102495995861, 0.23641266566412, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1006, 150.423368728092, 0.1955554299612, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1007, -175.907282703008, 0.214035015451868, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1008, -147.048720453037, 0.3069066456076, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1009, -117.118665365745, 0.633465372381997, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1010, -100.982439747779, 0.897630356782054, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0
1011, -85.7725561479606, 0.998734860018288, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.174571640420656
1012, 16.5963938900912, 0.999927965194223, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.892787966649301
1013, 32.0149243564668, 0.915435031932259, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.871509054889716
1014, 47.7214953067478, 0.666230676096435, 0, 2.392, 0, -3.8636, 0, 3.7568, 0, -1.3952, 0.787108259737468
